Time,SOI
1974.25,0.9
1974.33,1
1974.42,0.4
1974.5,1.1
1974.58,0.8
1974.67,1.1
1974.75,0.9
1974.83,-0.1
1974.92,0.2
1975,-0.5
1975.08,0.8
1975.17,1.6
1975.25,1.2
1975.33,0.6
1975.42,1.3
1975.5,1.9
1975.58,2
1975.67,2.1
1975.75,1.7
1975.83,1.2
1975.92,2.1
1976,1.4
1976.08,1.7
1976.17,1.7
1976.25,0.3
1976.33,0.4
1976.42,0.3
1976.5,-0.9
1976.58,-0.8
1976.67,-1.1
1976.75,0.4
1976.83,0.7
1976.92,-0.3
1977,-0.4
1977.08,1.2
1977.17,-0.5
1977.25,-0.4
1977.33,-0.5
1977.42,-0.9
1977.5,-1.1
1977.58,-0.8
1977.67,-0.8
1977.75,-1
1977.83,-1.3
1977.92,-1.1
1978,-0.3
1978.08,-2.7
1978.17,-0.2
1978.25,-0.3
1978.33,1.4
1978.42,0.7
1978.5,0.6
1978.58,0.4
1978.67,0.1
1978.75,-0.4
1978.83,0
1978.92,-0.1
1979,-0.4
1979.08,1
1979.17,0.1
1979.25,-0.1
1979.33,0.5
1979.42,0.6
1979.5,1.3
1979.58,-0.2
1979.67,0.1
1979.75,-0.1
1979.83,-0.4
1979.92,-0.7
1980,0.4
1980.08,0.3
1980.17,-0.4
1980.25,-0.6
1980.33,0
1980.42,0
1980.5,0
1980.58,0.4
1980.67,-0.5
1980.75,0
1980.83,-0.3
1980.92,-0.1
1981,0.4
1981.08,-0.2
1981.17,-1.3
1981.25,-0.1
1981.33,0.8
1981.42,1.2
1981.5,0.8
1981.58,0.7
1981.67,0.3
1981.75,-0.4
1981.83,0.2
1981.92,0.5
1982,1.2
1982.08,0.3
1982.17,0.6
1982.25,0.1
1982.33,-0.3
1982.42,-1
1982.5,-1.5
1982.58,-1.7
1982.67,-1.7
1982.75,-1.7
1982.83,-2.6
1982.92,-2.2
1983,-3.5
1983.08,-3.6
1983.17,-2.4
1983.25,-0.9
1983.33,0.6
1983.42,0
1983.5,-0.6
1983.58,0.1
1983.67,0.9
1983.75,0.4
1983.83,-0.1
1983.92,0
1984,0.2
1984.08,0.9
1984.17,-0.2
1984.25,0.3
1984.33,0.2
1984.42,-0.3
1984.5,0.2
1984.58,0.4
1984.67,0.1
1984.75,-0.3
1984.83,0.3
1984.92,-0.1
1985,-0.3
1985.08,1.2
1985.17,0.8
1985.25,1.2
1985.33,0.4
1985.42,-0.4
1985.5,-0.1
1985.58,1
1985.67,0
1985.75,-0.4
1985.83,-0.2
1985.92,0.2
1986,1
1986.08,-1
1986.17,0.5
1986.25,0.3
1986.33,-0.2
1986.42,1
1986.5,0.3
1986.58,-0.4
1986.67,-0.5
1986.75,0.6
1986.83,-1.2
1986.92,-1.4
1987,-0.7
1987.08,-1.2
1987.17,-1.3
1987.25,-1.4
1987.33,-1.3
1987.42,-1.1
1987.5,-1.4
1987.58,-0.9
1987.67,-1
1987.75,-0.4
1987.83,0
1987.92,-0.5
1988,-0.1
1988.08,-0.4
1988.17,0.6
1988.25,0.1
1988.33,0.9
1988.42,0.1
1988.5,1
1988.58,1.5
1988.67,1.8
1988.75,1.4
1988.83,1.7
1988.92,1.2
1989,1.5
1989.08,1.2
1989.17,1.1
1989.25,1.6
1989.33,1.2
1989.42,0.7
1989.5,0.9
1989.58,-0.3
1989.67,0.5
1989.75,0.8
1989.83,-0.2
1989.92,-0.5
1990,-0.1
1990.08,-1.8
1990.17,-0.4
1990.25,0.2
1990.33,1.2
1990.42,0.3
1990.5,0.5
1990.58,-0.2
1990.67,-0.7
1990.75,0.3
1990.83,-0.5
1990.92,-0.2
1991,0.6
1991.08,0.3
1991.17,-0.7
1991.25,-0.6
1991.33,-1
1991.42,-0.1
1991.5,0
1991.58,-0.4
1991.67,-1.5
1991.75,-1
1991.83,-0.7
1991.92,-1.8
1992,-2.9
1992.08,-0.9
1992.17,-2
1992.25,-1
1992.33,0.3
1992.42,-0.6
1992.5,-0.6
1992.58,0.4
1992.67,0.1
1992.75,-1.4
1992.83,-0.7
1992.92,-0.6
1993,-0.9
1993.08,-0.7
1993.17,-0.5
1993.25,-1.2
1993.33,-0.3
1993.42,-0.8
1993.5,-0.8
1993.58,-0.9
1993.67,-0.7
1993.75,-1.1
1993.83,-0.1
1993.92,0.2
1994,-0.1
1994.08,0.3
1994.17,-0.7
1994.25,-1.3
1994.33,-0.7
1994.42,-0.4
1994.5,-1.3
1994.58,-1.2
1994.67,-1.6
1994.75,-1.1
1994.83,-0.6
1994.92,-1.2
1995,-0.4
1995.08,-0.1
1995.17,0.8
1995.25,-0.7
1995.33,-0.4
1995.42,0.1
1995.5,0.4
1995.58,0.3
1995.67,0.3
1995.75,0
1995.83,0
1995.92,-0.5
1996,1
1996.08,0.3
1996.17,1.1
1996.25,0.8
1996.33,0.3
1996.42,1.2
1996.5,0.7
1996.58,0.7
1996.67,0.6
1996.75,0.6
1996.83,-0.1
1996.92,0.9
1997,0.5
1997.08,1.7
1997.17,-0.4
1997.25,-0.6
1997.33,-1.3
1997.42,-1.4
1997.5,-0.8
1997.58,-1.4
1997.67,-1.4
1997.75,-1.5
1997.83,-1.2
1997.92,-1
1998,-2.7
1998.08,-2
1998.17,-2.4
1998.25,-1.4
1998.33,0.3
1998.42,1
1998.5,1.2
1998.58,1.2
1998.67,1
1998.75,1.1
1998.83,1
1998.92,1.4
1999,1.8
1999.08,1
1999.17,1.3
1999.25,1.4
1999.33,0.2
1999.42,0.3
1999.5,0.5
1999.58,0.4
1999.67,-0.1
1999.75,1
1999.83,1
1999.92,1.4
2000,0.7
2000.08,1.7
2000.17,1.3
2000.25,1.2
2000.33,0.4
2000.42,-0.2
2000.5,-0.2
2000.58,0.7
2000.67,0.9
2000.75,1.1
2000.83,1.8
2000.92,0.8
2001,1
2001.08,1.7
2001.17,0.9
2001.25,0.2
2001.33,-0.5
2001.42,0.3
2001.5,-0.2
2001.58,-0.4
2001.67,0.2
2001.75,0
2001.83,0.7
2001.92,-0.8
2002,0.4
2002.08,1.1
2002.17,-0.2
2002.25,-0.1
2002.33,-0.8
2002.42,-0.2
2002.5,-0.5
2002.58,-1
2002.67,-0.6
2002.75,-0.4
2002.83,-0.5
2002.92,-1.1
2003,-0.2
2003.08,-0.7
2003.17,-0.3
2003.25,-0.1
2003.33,-0.3
2003.42,-0.6
2003.5,0.3
2003.58,0.1
2003.67,-0.1
2003.75,0
2003.83,-0.3
2003.92,1.1
2004,-1.3
2004.08,1.2
2004.17,0.4
2004.25,-0.9
2004.33,1
2004.42,-0.8
2004.5,-0.5
2004.58,-0.3
2004.67,-0.3
2004.75,-0.1
2004.83,-0.7
2004.92,-0.8
2005,0.3
2005.08,-3.1
2005.17,0.3
2005.25,-0.6
2005.33,-0.8
2005.42,0.4
2005.5,0.2
2005.58,-0.3
2005.67,0.4
2005.75,1.2
2005.83,-0.2
2005.92,0
2006,1.7
2006.08,0.1
2006.17,1.8
2006.25,1.1
2006.33,-0.5
2006.42,-0.2
2006.5,-0.6
2006.58,-1
2006.67,-0.6
2006.75,-1.3
2006.83,0.1
2006.92,-0.3
2007,-0.8
2007.08,-0.1
2007.17,0.2
2007.25,-0.1
2007.33,-0.1
2007.42,0.5
2007.5,-0.3
2007.58,0.4
2007.67,0.2
2007.75,0.7
2007.83,0.9
2007.92,1.7
2008,1.8
2008.08,2.6
2008.17,1.4
2008.25,0.7
2008.33,-0.1
2008.42,0.6
2008.5,0.3
2008.58,1
2008.67,1.2
2008.75,1.3
2008.83,1.3
2008.92,1.4
2009,1.1
2009.08,1.9
2009.17,0.4
2009.25,0.8
2009.33,-0.1
2009.42,0.1
2009.5,0.2
2009.58,-0.2
2009.67,0.3
2009.75,-1.2
2009.83,-0.6
2009.92,-0.7
2010,-1.1
2010.08,-1.5
2010.17,-0.7
2010.25,1.2
2010.33,0.9
2010.42,0.4
2010.5,1.8
2010.58,1.8
2010.67,2.2
2010.75,1.7
2010.83,1.3
2010.92,2.9
2011,2.3
2011.08,2.7
2011.17,2.5
2011.25,1.9
2011.33,0.4
2011.42,0.2
2011.5,1
2011.58,0.4
2011.67,1
2011.75,0.8
2011.83,1.1
2011.92,2.5
2012,1.1
2012.08,0.5
2012.17,0.7
2012.25,-0.3
2012.33,0
2012.42,-0.4
2012.5,0
2012.58,-0.2
2012.67,0.2
2012.75,0.3
2012.83,0.3
2012.92,-0.6
2013,-0.1
2013.08,-0.2
2013.17,1.5
2013.25,0.2
2013.33,0.8
2013.42,1.2
2013.5,0.8
2013.58,0.2
2013.67,0.3
2013.75,-0.1
2013.83,0.7
2013.92,0.1
2014,1.4
2014.08,0.1
2014.17,-0.9
2014.25,0.8
2014.33,0.5
2014.42,0.2
2014.5,-0.2
2014.58,-0.7
2014.67,-0.7
2014.75,-0.6
2014.83,-0.9
2014.92,-0.6
2015,-0.8
2015.08,0.2
2015.17,-0.7
2015.25,0
2015.33,-0.7
2015.42,-0.6
2015.5,-1.1
2015.58,-1.4
2015.67,-1.6
2015.75,-1.7
2015.83,-0.5
2015.92,-0.6
2016,-2.2
2016.08,-2
2016.17,-0.1
2016.25,-1.2
2016.33,0.4
2016.42,0.6
2016.5,0.4
2016.58,0.7
2016.67,1.2
2016.75,-0.3
2016.83,-0.1
2016.92,0.3
2017,0.2
2017.08,-0.1
2017.17,0.9
2017.25,-0.2
2017.33,0.3
2017.42,-0.4
2017.5,0.8
2017.58,0.5
2017.67,0.6
2017.75,0.9
2017.83,0.9
2017.92,-0.1
2018,1.1
2018.08,-0.5
2018.17,1.5
2018.25,0.5
2018.33,0.4
2018.42,-0.1
2018.5,0.2
2018.58,-0.3
2018.67,-0.9
2018.75,0.4
2018.83,-0.1
2018.92,1
2019,0
2019.08,-1.4
2019.17,-0.3
2019.25,0.1
2019.33,-0.4
2019.42,-0.5
2019.5,-0.4
2019.58,-0.1
2019.67,-1.2
2019.75,-0.4
2019.83,-0.8
2019.92,-0.6
2020,0.2
2020.08,-0.1
2020.17,-0.1
2020.25,0.2
2020.33,0.4
2020.42,-0.4
2020.5,0.4
2020.58,1.1
2020.67,0.9
